ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,AADT,AADT_YEAR,GIS_ID,OBJECTID,SHAPE,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPELEN
11000102,0,70.7,2023/01/01 05:00:00+00,,{9E63BA08-6960-4C2F-95D6-A02564BB87AD},4527,2023,,377601,,{F902C897-8830-47C7-B269-0F0D43E4F157},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,70.7,70.7386,2023/01/01 05:00:00+00,,{FA4FE0BC-5AD7-457A-B8A4-CFEA4031407D},7725,2023,,377602,,{74CB9492-768C-4B62-863F-C86E5800C1D9},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,70.7396,210.4,2023/01/01 05:00:00+00,,{FA4FE0BC-5AD7-457A-B8A4-CFEA4031407D},7725,2023,,377603,,{6356A2C9-A100-481C-9D26-42DD0000381F},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,210.4,296.1,2023/01/01 05:00:00+00,,{FE1F3331-29C5-47EF-BBAC-47B962F49ED5},7725,2023,,377604,,{4E166078-6115-4F65-B636-F30079924632},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,296.1,326.5,2023/01/01 05:00:00+00,,{6D961B50-FEDC-4A90-8042-E1C972AED1DC},6011,2023,,377605,,{C0C25FDD-8168-46CB-B103-2E2FD80D6DC0},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,326.5,371.7,2023/01/01 05:00:00+00,,{A11CCEDD-AC1D-4BD3-B05F-9F77CF3ADCEF},6011,2023,,377606,,{550E74B4-39D9-4ED1-B344-CF82D73E71E2},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,371.7,390.8,2023/01/01 05:00:00+00,,{88E8219C-32F0-417C-B043-7AF52C773C34},6011,2023,,377607,,{7042319B-3AD3-4477-9FA7-5A381933635C},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,390.8,510,2023/01/01 05:00:00+00,,{2A850840-FD24-4494-A55E-10D4605A6B9A},6011,2023,,377608,,{4689E896-7BC7-419E-B96B-B4CEF4B8D1C7},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,510,556,2023/01/01 05:00:00+00,,{4A320990-4F57-464D-AB1D-B17718E2CCD6},6011,2023,,377609,,{89636FAF-D67B-4E2A-AFCA-7A09B57C7F82},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,556,608.7,2023/01/01 05:00:00+00,,{78B3E52B-44D3-4303-937C-2A48B69E95E4},6011,2023,,377610,,{ABBB98E9-5D08-4613-887E-396392607A3D},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,608.7,658.5,2023/01/01 05:00:00+00,,{520702E4-17FF-495E-A759-EF5E861A7E11},6011,2023,,377611,,{B6EBC67A-FFC5-4DFC-8A93-169F4F4AC3CB},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,658.5,705,2023/01/01 05:00:00+00,,{5AFA2E26-9F12-4F08-A27F-E72116356449},6011,2023,,377612,,{6DB512A5-B0D8-4813-B3D9-C0A41C2B8E1C},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,705,793.2,2023/01/01 05:00:00+00,,{DE4C1D51-530C-4739-BA01-27D46E6EB069},6011,2023,,377613,,{0A17BA5E-6942-4366-A073-87A2FD1F581A},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,793.2,849.079,2023/01/01 05:00:00+00,,{AB22C0EC-E230-4F67-8FAD-19D23B601AC1},6011,2023,,377614,,{45C76576-F5DE-4419-9C56-F64D847E29D7},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,849.08,849.1,2023/01/01 05:00:00+00,,{AB22C0EC-E230-4F67-8FAD-19D23B601AC1},6011,2023,,377615,,{2FABA4CC-AC91-47CA-82B6-CC2C9DACC674},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,849.1,887.9,2023/01/01 05:00:00+00,,{455EED5B-59F2-4634-AF2B-45906981E8AA},562,2023,,377616,,{03FA2549-3AC7-4385-9957-677F7BBE4271},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,887.9,929.2,2023/01/01 05:00:00+00,,{5CEE755C-F288-4BE6-A71B-C0DEF5C30588},562,2023,,377617,,{5CBC3272-DCB5-47BA-AE59-9FF0F937303C},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,929.2,962.7,2023/01/01 05:00:00+00,,{621825E6-4602-472B-8229-7D705F905771},562,2023,,377618,,{A0551B84-467F-4978-B925-4DE89BDFA421},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,962.7,985.6,2023/01/01 05:00:00+00,,{677283B8-B57E-46E8-A4FD-5C9F4F525882},562,2023,,377619,,{ED1080C3-B9CD-4588-BA3C-B30E670FFAB1},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,985.6,1110.9,2023/01/01 05:00:00+00,,{B7ACFF69-E004-40AA-A025-AB24465485CE},9537,2023,,377620,,{CA2D1D36-BB78-431D-887B-5C6507B67F42},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,1110.9,1243.8,2023/01/01 05:00:00+00,,{60898C0F-6687-46D3-B3F3-0471C47532D9},9537,2023,,377621,,{A6A7D1C2-2C0A-4D14-BE66-ECA76DE0AFE1},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,1243.8,1378.8,2023/01/01 05:00:00+00,,{62FF6C22-8DB6-44D7-9B73-C01A0DA10DA9},9537,2023,,377622,,{838BE0F7-AC5C-450F-B10B-D8420011452E},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,1378.8,1484.8,2023/01/01 05:00:00+00,,{AA64CF65-736C-4790-9682-DC933B28F759},9537,2023,,377623,,{41747D1E-3027-4CAB-A9F9-14D7F8F4BCD7},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,1484.8,1591.1,2023/01/01 05:00:00+00,,{0798FD2E-B58B-4F1F-A7CB-19D9E46C67E0},9537,2023,,377624,,{6D106E0E-33F5-4021-AF81-F8E4FF8F0631},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,1591.1,1660.3,2023/01/01 05:00:00+00,,{4F3560D7-5A3C-4B4A-AABB-3BBB3B708631},9537,2023,,377625,,{992B19D5-B00B-4327-97C1-D88151F23D04},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,1660.3,1767.6,2023/01/01 05:00:00+00,,{403BBB4D-1F43-44D9-9E76-C42146670752},9537,2023,,377626,,{51FF0878-6AA4-431C-95B6-CFF361196434},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,1767.6,1809.8,2023/01/01 05:00:00+00,,{5BD17398-353F-4859-BC0E-653F3134EFE3},9537,2023,,377627,,{3BD7C2D6-514E-4968-BEFC-D16085B9E590},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,1809.8,1915.8,2023/01/01 05:00:00+00,,{06CD65CD-CCDA-47B6-8712-108295EDB864},9537,2023,,377628,,{B6C8853D-3A48-4BFB-AF72-BB2EAF10B405},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,1915.8,2034.6,2023/01/01 05:00:00+00,,{2DEED47D-60CB-4806-898B-077CAEC2E775},9537,2023,,377629,,{693E91D9-03C1-4113-A1F4-AF5E6C647316},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2034.6,2081.1,2023/01/01 05:00:00+00,,{2F7BCE7D-832C-43F3-BF46-A888E7B6F6D5},9537,2023,,377630,,{FDC1D935-F474-4633-8DEA-44F6EC40AD14},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2081.1,2116.7,2023/01/01 05:00:00+00,,{564CFE3D-0BE9-41AE-8097-BF2012C0E3B1},9537,2023,,377631,,{C68E4D18-A607-4C44-AB9E-01BCCCF7BB47},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2116.7,2152.6,2023/01/01 05:00:00+00,,{E049332D-AFF1-4D06-A10A-09D15ABF5060},9537,2023,,377632,,{CFB43210-6C80-40F0-B0CE-34D53D92FF5E},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2152.6,2198.9,2023/01/01 05:00:00+00,,{09AF4160-99CC-438A-ABDB-2FBEF2D517FE},9537,2023,,377633,,{359BB5E8-9E55-4897-B831-548B933FD16A},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2198.9,2232.6,2023/01/01 05:00:00+00,,{10AC3480-ABD6-45AE-B214-D18AE309720B},9537,2023,,377634,,{020DF91E-3932-48D5-B53A-292C674B0AA0},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2232.6,2309.5,2023/01/01 05:00:00+00,,{F7B4C56E-EF50-4E8F-AFF1-E18D89061736},9537,2023,,377635,,{5E971AD5-5FED-44D9-8829-12D8DD6E33E8},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2309.5,2363.8,2023/01/01 05:00:00+00,,{9DB06D90-3A1A-40A5-835B-1300A4BC45E6},9537,2023,,377636,,{6A761BA9-4998-4A76-B743-6F4024804D45},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2363.8,2445.8,2023/01/01 05:00:00+00,,{59AA9533-49FF-4EE5-A028-EBB5A4F466E2},9537,2023,,377637,,{39E46082-8D2C-4633-A5CB-6658FE37C85C},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2445.8,2528,2023/01/01 05:00:00+00,,{D9183C9E-C616-407A-9B80-D215FE6BB852},9537,2023,,377638,,{A623D0EE-71AF-4EC2-8517-7938803396F1},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2528,2610.3,2023/01/01 05:00:00+00,,{1EB8F861-0320-4657-8BBD-FCB7774CD797},9537,2023,,377639,,{A613DB57-C976-4379-AAB3-054455144C5B},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2610.3,2688.2,2023/01/01 05:00:00+00,,{B3B0DC86-6A92-43D4-9F67-864CF298D2D8},9537,2023,,377640,,{59914AAC-D1B7-423D-AB3A-256512D76BAD},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2688.2,2710.1,2023/01/01 05:00:00+00,,{62EA5D86-C9CF-4DAC-8C03-BCA90F01DC6B},9537,2023,,377641,,{50C6A5E8-5EA7-4112-BC01-5B461EC3DF4B},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2710.1,2772.1,2023/01/01 05:00:00+00,,{EB23353E-74DC-4EC9-8CED-1437AB08A507},4091,2023,,377642,,{CF4CCB80-1C13-47D5-B827-4779E7B79B6A},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2772.1,2851.6,2023/01/01 05:00:00+00,,{38A78655-AB07-49EF-B1D9-08393F21EDFB},4091,2023,,377643,,{99CDC9C2-A02F-434B-B785-E0194CC4C4E0},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000102,2851.6,2974.8,2023/01/01 05:00:00+00,,{94350EED-6079-4A49-802B-9170EC284E13},4091,2023,,377644,,{BD9F9D06-D874-469F-A155-B8346488DC05},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
